peak_frequency,power,mean_magnitude,std_magnitude,bandwidth,spectral_centroid,spectral_spread,spectral_flatness,spectral_entropy,label,capture,window
2058950.0,40901.1953125,122.04216766357422,161.2665557861328,4333200.0,3125641.3744891807,1886215.8148490863,0.14501570420245005,16.158534074085072,bluetooth,capture_002.npy,4
3972500.0,28285.287109375,87.0824966430664,143.88162231445312,7360150.0,2862389.2698460203,2112496.606704046,0.1145841306706815,15.405293135102157,bluetooth,capture_002.npy,5
1037350.0,292940.84375,194.041259765625,505.2611389160156,6996900.0,4695383.943046352,2686896.6001624796,0.022148554555282123,14.780739473703571,bluetooth,capture_003.npy,1
1037550.0,135452.890625,86.89962005615234,357.63299560546875,6064550.0,4121536.5152319157,2492343.4944021828,0.026714239852533322,14.310387761642055,bluetooth,capture_003.npy,2
1037850.0,156763.984375,92.29266357421875,385.02734375,6064400.0,4088589.624643605,2489529.7628852343,0.025829457337212414,14.32776598770587,bluetooth,capture_003.npy,3
1037650.0,306682.25,201.73056030273438,515.7393188476562,6064650.0,4544916.372003553,2639755.3281678725,0.022130791809280254,14.710469880078799,bluetooth,capture_003.npy,4
7043450.0,724072.5,329.8182067871094,784.4058227539062,929900.0,6538919.762702498,1663997.6692143136,0.01586818125420408,14.498091220001644,bluetooth,capture_003.npy,5
1033350.0,41106.19140625,100.48893737792969,176.09133911132812,2611200.0,1623726.4132133187,1292366.3020004793,0.09715261594334441,16.06839823108352,bluetooth,capture_004.npy,1
5011550.0,602103.0,346.50311279296875,694.2899780273438,10337050.0,3123605.2733091977,1866490.2286484113,0.23114014603616925,17.228672771621063,bluetooth,capture_004.npy,2
7190700.0,84780.3984375,139.16659545898438,255.759765625,12586650.0,5262571.602464176,1925506.325450154,0.08691434156403557,15.561970793236522,bluetooth,capture_004.npy,3
6939300.0,33880.60546875,76.10729217529297,167.5955810546875,334600.0,6859266.762660206,789089.8520584909,0.03257898788865365,13.54052530807426,bluetooth,capture_004.npy,4
2967800.0,116855.3203125,162.7044219970703,300.6369934082031,6548900.0,2730062.0219944064,1679302.89032898,0.20993819317820778,17.155248389236228,bluetooth,capture_004.npy,5
124150.0,109470.25,136.85525512695312,301.2322998046875,382350.0,2232772.708411552,2766365.4526718897,0.15033153693334747,15.0997806425739,bluetooth,capture_005.npy,1
5978150.0,137483.1875,161.9866943359375,333.5318603515625,12190950.0,4351519.786846875,2205997.7961866427,0.08694604004068664,15.579566295076573,bluetooth,capture_005.npy,2
3001600.0,11705.8291015625,72.81271362304688,80.0258560180664,10000150.0,4815855.606696811,1912920.9082285783,0.30712524914801687,16.56725861773552,bluetooth,capture_005.npy,3
6963650.0,13675.90625,80.68585968017578,84.65045166015625,10359150.0,6140150.384470053,1939736.2122246923,0.20443810664894366,15.735513705958008,bluetooth,capture_005.npy,4
7014850.0,684606.0,331.1530456542969,758.2503662109375,346300.0,6258855.305068848,1825124.5871507055,0.08902077595220091,14.27529807281979,bluetooth,capture_005.npy,5
